iter	Passed	Remaining
405	7365	1705
406	7382	1686
407	7404	1669
408	7426	1652
409	7446	1634
410	7462	1615
411	7480	1597
412	7497	1579
413	7514	1560
414	7532	1542
415	7548	1524
416	7573	1507
417	7592	1489
418	7609	1471
419	7625	1452
420	7647	1435
421	7669	1417
422	7688	1399
423	7706	1381
424	7723	1362
425	7741	1344
426	7758	1326
427	7775	1308
428	7793	1289
429	7811	1271
430	7831	1253
431	7848	1235
432	7862	1216
433	7878	1198
434	7896	1180
435	7915	1161
436	7932	1143
437	7949	1125
438	7968	1107
439	7988	1089
440	8007	1071
441	8024	1052
442	8041	1034
443	8060	1016
444	8082	999
445	8099	980
446	8117	962
447	8129	943
448	8149	925
449	8171	907
450	8196	890
451	8227	873
452	8250	855
453	8269	837
454	8291	820
455	8308	801
456	8326	783
457	8343	765
458	8360	746
459	8379	728
460	8400	710
461	8403	691
462	8420	672
463	8437	654
464	8455	636
465	8474	618
466	8492	600
467	8510	581
468	8534	564
469	8551	545
470	8566	527
471	8586	509
472	8604	491
473	8625	473
474	8640	454
475	8657	436
476	8678	418
477	8695	400
478	8710	381
479	8730	363
480	8753	345
481	8769	327
482	8785	309
483	8802	290
484	8803	272
485	8823	254
486	8840	236
487	8857	217
488	8874	199
489	8895	181
490	8915	163
491	8930	145
492	8952	127
493	8969	108
494	8970	90
495	8989	72
496	9013	54
497	9034	36
498	9059	18
499	9078	0
