iter	RMSE
333	0.1731812986
334	0.1730198048
335	0.1728669484
336	0.1727555851
337	0.172587438
338	0.1724523522
339	0.1722538744
340	0.1721168475
341	0.1720065615
342	0.1718317284
343	0.1716430673
344	0.1714827707
345	0.1713123187
346	0.1711907656
347	0.1710301173
348	0.1708617605
349	0.170841466
350	0.1706911879
351	0.1705238434
352	0.1704011202
353	0.1701880034
354	0.170029976
355	0.1698529582
356	0.1697059337
357	0.1695002845
358	0.1693221602
359	0.1691497054
360	0.1689867613
361	0.168794835
362	0.1686251237
363	0.1685139841
364	0.1683636096
365	0.168199346
366	0.1680461287
367	0.1678676663
368	0.167727778
369	0.1675683841
370	0.1674257484
371	0.167276724
372	0.1671269978
373	0.1669885226
374	0.1668436635
375	0.166650989
376	0.1664880513
377	0.1663215321
378	0.1661652704
379	0.1660000994
380	0.1658809002
381	0.1657437981
382	0.1655897196
383	0.165437026
384	0.1652635959
385	0.1651336445
386	0.1649650663
387	0.1648123405
388	0.164624933
389	0.16447257
390	0.1642943536
391	0.1641668278
392	0.1640381005
393	0.1639263369
394	0.1637683421
395	0.1636277336
396	0.1635083496
397	0.1633696677
398	0.1632238208
399	0.1632121196
400	0.1630432579
401	0.1629270437
402	0.1627980868
403	0.1626134642
404	0.1624749902
405	0.1623299956
406	0.1622099959
407	0.1620871593
408	0.1619049816
409	0.1617459552
410	0.1616129311
411	0.1614402158
412	0.1613059729
413	0.1611240321
414	0.1609881649
415	0.1608533988
416	0.1606920144
417	0.1605405183
418	0.1604085017
419	0.1602184797
420	0.1600672684
421	0.1599027245
422	0.1597340705
423	0.1595788531
424	0.1594362081
425	0.1592663803
426	0.1591400845
427	0.1589860239
428	0.1588865208
429	0.1587520943
430	0.1586169961
431	0.1584655535
432	0.1582834391
433	0.1581960606
434	0.1580331213
435	0.1578646667
436	0.1577059684
437	0.1575608147
438	0.1574379977
439	0.1572903076
440	0.1571487204
441	0.1570664114
442	0.1569156022
443	0.1568036713
444	0.1566575538
445	0.1565575735
446	0.1564134417
447	0.1562513677
448	0.1561057096
449	0.1559408988
450	0.1557855098
451	0.1556480282
452	0.1555333422
453	0.1553646574
454	0.1552134943
455	0.1550532154
456	0.1548781004
457	0.1547090061
458	0.1545745938
459	0.1544406898
460	0.1543518397
461	0.1543092824
462	0.1542034383
463	0.1540410077
464	0.1538899857
465	0.1537338112
466	0.1536141748
467	0.1535015736
468	0.1533262906
469	0.1531845325
470	0.1530387252
471	0.1529342579
472	0.152798549
473	0.1526734347
474	0.1525453509
475	0.152410896
476	0.1522748392
477	0.1521187043
478	0.1519689086
479	0.1518063573
480	0.1516697378
481	0.1515114871
482	0.151406455
483	0.1512394335
484	0.1512367499
485	0.1510743441
486	0.1509339848
487	0.1508273935
488	0.1506985704
489	0.1505683668
490	0.150464214
491	0.1503030769
492	0.1501510662
493	0.1500310767
494	0.1500149993
495	0.1499258501
496	0.1497684971
497	0.1496493163
498	0.1495339912
499	0.1493820372
